epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,82.9225,1.9032,1.99091,1.98884,0.58973,0.6,0.51892,0.14542,2.304,2.30581,2.42961,0.000416,0.000416,0.000416
82,83.9099,1.83304,1.97107,1.91873,0.58774,0.6,0.53513,0.14766,2.29515,2.33041,2.41342,0.0003962,0.0003962,0.0003962
83,84.8762,1.85331,1.98855,1.95661,0.57753,0.6,0.52019,0.14191,2.32098,2.35408,2.43053,0.0003764,0.0003764,0.0003764
84,85.8591,1.89209,2.12138,1.94574,0.58337,0.6,0.52125,0.13048,2.32926,2.37246,2.42568,0.0003566,0.0003566,0.0003566
85,86.8248,1.76502,1.96036,1.8504,0.5162,0.55,0.45281,0.11689,2.30682,2.40568,2.40914,0.0003368,0.0003368,0.0003368
86,87.8037,1.88022,2.07126,2.00752,0.55052,0.6,0.52837,0.13464,2.29104,2.43273,2.4008,0.000317,0.000317,0.000317
87,88.8415,1.76458,1.98631,1.88672,0.50535,0.55,0.43584,0.13085,2.26415,2.3853,2.3921,0.0002972,0.0002972,0.0002972
88,89.8105,1.78251,1.99948,1.86411,0.5655,0.6,0.52947,0.15226,2.23328,2.37525,2.4067,0.0002774,0.0002774,0.0002774
89,90.7824,1.68284,2.00423,1.82088,0.56732,0.6,0.51644,0.14533,2.24282,2.36708,2.41148,0.0002576,0.0002576,0.0002576
90,91.819,1.74708,1.95496,1.8763,0.51955,0.55,0.47378,0.13051,2.31393,2.38617,2.47336,0.0002378,0.0002378,0.0002378
91,95.2212,2.04785,1.9212,2.14547,0.53048,0.55,0.48844,0.1302,2.34712,2.3852,2.49538,0.000218,0.000218,0.000218
92,96.227,1.90711,1.91995,1.96224,0.53514,0.55,0.49074,0.12089,2.35849,2.34081,2.48609,0.0001982,0.0001982,0.0001982
93,97.2474,1.84272,2.0342,1.97775,0.51887,0.55,0.44226,0.11711,2.34062,2.34442,2.4724,0.0001784,0.0001784,0.0001784
94,98.2521,1.78515,1.86536,2.0043,0.5061,0.55,0.46864,0.12223,2.34468,2.35761,2.45594,0.0001586,0.0001586,0.0001586
95,99.2486,1.8622,1.91317,1.98499,0.50369,0.55,0.47867,0.12745,2.33921,2.38492,2.45253,0.0001388,0.0001388,0.0001388
96,100.245,1.89113,1.93253,2.01775,0.5521,0.6,0.54935,0.13796,2.34869,2.40606,2.46384,0.000119,0.000119,0.000119
97,101.23,1.96627,1.91452,2.04752,0.55616,0.6,0.51705,0.13286,2.36995,2.42514,2.48496,9.92e-05,9.92e-05,9.92e-05
98,102.214,1.93945,1.85483,2.00988,0.46839,0.5,0.36721,0.11506,2.38721,2.45907,2.50537,7.94e-05,7.94e-05,7.94e-05
99,103.248,1.92557,1.86965,1.99679,0.52499,0.55,0.44969,0.11806,2.4036,2.4583,2.51732,5.96e-05,5.96e-05,5.96e-05
100,104.289,1.96393,1.8652,2.07356,0.50423,0.55,0.46355,0.12458,2.4226,2.47233,2.52047,3.98e-05,3.98e-05,3.98e-05
